original_language,runtime,popularity,vote_average,Num_genres,Num_keywords,Num_production_companies,Num_production_countries,Num_spoken_languages,Num_overview_words,Num_tagline_words,Num_Departments,Num_Cast,Num_Crew,Year,Month,Day,Is_profitable
4,143.0,52.792678,7.3,3,14,7,2,2,54,5,11,22,87,2006,12,7,1
4,180.0,95.007934,7.9,3,12,5,1,2,29,3,11,140,244,2013,12,25,1
4,121.0,48.205606,5.2,3,21,2,2,1,71,5,8,17,18,1995,5,31,1
4,129.0,58.782359,6.7,4,13,3,1,1,52,8,9,20,46,1997,11,6,1
4,172.0,73.872343,6.6,2,8,8,4,1,91,3,11,30,149,2012,10,26,1
4,97.0,37.321848,6.5,4,1,4,2,1,64,12,8,22,13,2010,7,10,1
4,104.0,32.271938,4.2,2,12,6,1,2,57,4,11,58,162,2004,7,22,0
4,99.0,76.842247,5.6,2,6,4,1,1,169,9,11,26,77,2014,7,23,1
4,95.0,38.924136,7.2,5,17,2,1,1,45,6,7,28,39,2002,11,26,0
4,102.0,19.38841,5.3,3,4,4,1,1,47,4,9,18,27,2009,6,5,0
4,127.0,61.025639,6.1,3,8,6,2,1,113,6,11,31,85,2014,8,4,1
4,114.0,33.507289,5.5,3,5,4,3,1,28,7,11,14,144,2015,12,3,1
4,94.0,17.815595,3.6,4,3,2,2,1,40,2,9,7,13,2005,2,18,0
4,122.0,50.767332,6.5,5,22,8,1,1,127,10,11,26,110,2015,11,20,0
